Note ID	type	de_article	de_word_short	en_word	de_word_full	de_sentence	en_sentence	notes	audio_de_word	audio_de_sentence	tags
B10018	other		ein-	a, one	ein-	Wir haben zu wenig Mitspieler. Wir brauchen noch einen.	We don't have enough players. We need one more.		 [sound:googletts-1d382778-40009291-cf63fda9-3f41ae77-f783b70c.mp3]	 [sound:googletts-ab95671b-0ab2b87a-e451c272-ea6557c3-3359f3b2.mp3]	B1_goethe_other
B10019	verb		haben	to have	haben, hat, hatte, hat gehabt	Wir haben Hunger.	We are hungry.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-a4543ef5-ba06ad0e-211d704e-3f220bed-70799b03.mp3]	B1_goethe_verb
B10020	verb		haben	to have	haben, hat, hatte, hat gehabt	Heute habe ich keine Zeit.	I don&#x27;t have time today.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-346d1ec9-2f5767d6-c16d297f-3518ed90-a5d62a00.mp3]	B1_goethe_verb
B10021	verb		haben	to have	haben, hat, hatte, hat gehabt	Wir haben ein neues Auto.	We have a new car.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-81a7e20b-0fd7179b-04b62db2-9f12f4b7-6c4bc002.mp3]	B1_goethe_verb
B10022	verb		haben	to have	haben, hat, hatte, hat gehabt	Kann ich bitte eine Suppe haben?	Can I have some soup, please?		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-54abf029-2d1605b6-4eabb519-de69720e-a0745793.mp3]	B1_goethe_verb
B10023	verb		haben	to have	haben, hat, hatte, hat gehabt	Unsere Wohnung hat vier Zimmer.	Our apartment has four rooms.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-d7ffe59d-7496335e-af8556c1-355ea67d-0db9e2f8.mp3]	B1_goethe_verb
B10024	verb		haben	to have	haben, hat, hatte, hat gehabt	Ich habe heute viel zu tun.	I have a lot to do today.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-1e3d74af-5a79e6e1-efd7b7fd-2ecc12c2-4a1d73e3.mp3]	B1_goethe_verb
B10025	verb		haben	to have	haben, hat, hatte, hat gehabt	Du hast es gut. Du kannst in Urlaub fahren.	You have it good. You can go on vacation.		 [sound:googletts-e1139722-7f0becd8-6b5a0a63-5f2180d3-870ad54d.mp3]	 [sound:googletts-36596b99-95667db3-7031ebda-ee1214f7-7fb0b690.mp3]	B1_goethe_verb
B10026	verb		(sich) siezen	to be on first name terms	(sich) siezen, siezt, siezte, hat gesiezt	Obwohl sie sich schon lange kennen, siezen sie sich.	Although they have known each other for a long time, they are on first-name terms.		 [sound:googletts-533e740f-cd28c936-edc7da41-a4230321-ac88e714.mp3]	 [sound:googletts-9a13b687-01ff35dc-53f06f48-d7dd6e93-b3392ea3.mp3]	B1_goethe_verb
B10027	verb		werden	to become	werden, wird, wurde, ist geworden	Es wird kalt.	It&#x27;s getting cold.		 [sound:googletts-6773fbfa-c41bf5da-b151b41f-e05e95e5-ba07d705.mp3]	 [sound:googletts-6413dbb9-8421e194-579bfa78-ef4bf2a5-5c26f1bf.mp3]	B1_goethe_verb
B10028	verb		werden	to become	werden, wird, wurde, ist geworden	Ich habe morgen Geburtstag. ? Wie alt wirst du denn?	It&#x27;s my birthday tomorrow. - How old are you going to be?		 [sound:googletts-6773fbfa-c41bf5da-b151b41f-e05e95e5-ba07d705.mp3]	 [sound:googletts-313ae376-ea710672-08acdf20-5e080d94-63648a54.mp3]	B1_goethe_verb
B10029	verb		werden	to become	werden, wird, wurde, ist geworden	Warum fährst du so schnell? Bist du verrückt geworden?!	Why are you driving so fast? Have you gone crazy?!		 [sound:googletts-6773fbfa-c41bf5da-b151b41f-e05e95e5-ba07d705.mp3]	 [sound:googletts-ab2bf793-9d946511-87723040-7a8cf642-6a5fc182.mp3]	B1_goethe_verb
B10030	verb		werden	to become	werden, wird, wurde, ist geworden	Mein Sohn möchte Polizist werden.	My son wants to be a policeman.		 [sound:googletts-6773fbfa-c41bf5da-b151b41f-e05e95e5-ba07d705.mp3]	 [sound:googletts-9ffd129d-503e285b-110bad25-022dc4e2-4ca0c329.mp3]	B1_goethe_verb
B10031	verb		werden	to become	werden, wird, wurde, ist geworden	Wohin fahren Sie in Urlaub? – Ich glaube, wir werden dieses Jahr zu Hause bleiben.	Where are you going on vacation? - I think we&#x27;ll stay at home this year.		 [sound:googletts-6773fbfa-c41bf5da-b151b41f-e05e95e5-ba07d705.mp3]	 [sound:googletts-13266f39-81860f7c-8bde6dd1-4000c125-ef23de92.mp3]	B1_goethe_verb
B10032	other		von	from, of	von + Dativ	Ich komme gerade vom Zahnarzt.	I&#x27;ve just come from the dentist.		 [sound:googletts-3b8c82f3-afbc2938-d9b27c65-ef3ced63-b5c3cfaa.mp3]	 [sound:googletts-b84c0c77-a6f100de-0e74805d-6671f225-5f01b3de.mp3]	B1_goethe_other
B10033	other		von	from, of	von + Dativ	Emil ist ein Freund von mir.	Emil is a friend of mine.		 [sound:googletts-3b8c82f3-afbc2938-d9b27c65-ef3ced63-b5c3cfaa.mp3]	 [sound:googletts-22bf4980-39dfc7a2-56dd7beb-7bc56ee4-61537559.mp3]	B1_goethe_other
B10034	other		von	from, of	von + Dativ	Haben Sie noch eine Zeitung von heute?	Do you still have a newspaper from today?		 [sound:googletts-3b8c82f3-afbc2938-d9b27c65-ef3ced63-b5c3cfaa.mp3]	 [sound:googletts-f30404ae-e54146fa-42a70a59-1f5f0bb4-8789a85d.mp3]	B1_goethe_other
B10035	other		von	from, of	von + Dativ	Von jetzt an müssen wir sparen.	From now on we have to save money.		 [sound:googletts-3b8c82f3-afbc2938-d9b27c65-ef3ced63-b5c3cfaa.mp3]	 [sound:googletts-4c80e615-0db1ddc8-59dc120f-ebf6f5c6-0b24cd96.mp3]	B1_goethe_other
B10036	other		von	from, of	von + Dativ	Das Büro ist von 13 bis 15 Uhr geschlossen.	The office is closed from 1 p.m. to 3 p.m.		 [sound:googletts-3b8c82f3-afbc2938-d9b27c65-ef3ced63-b5c3cfaa.mp3]	 [sound:googletts-2a62e68e-3f6af35b-d6b11510-6cdec96e-936d363d.mp3]	B1_goethe_other
B10037	other		nicht	not	nicht	Zigarette? - Danke, ich rauche nicht.	Cigarette? - Thank you, I don't smoke.		 [sound:googletts-af022c13-448f640a-c18cfe7f-79417b0c-4da1c7cf.mp3]	 [sound:googletts-85aa96db-861fd3d5-fdb0b5d6-91fac6b1-993aca2c.mp3]	B1_goethe_other
B10038	other		nicht	not	nicht	Wie geht es dir? – Nicht so gut.	How are you? - Not so good.		 [sound:googletts-af022c13-448f640a-c18cfe7f-79417b0c-4da1c7cf.mp3]	 [sound:googletts-214beddf-4a13d591-50d57d8c-7708854a-983baaa9.mp3]	B1_goethe_other
B10039	other		nicht	not	nicht	Das Essen in der Kantine ist gar nicht schlecht.	The food in the canteen is not bad at all.		 [sound:googletts-af022c13-448f640a-c18cfe7f-79417b0c-4da1c7cf.mp3]	 [sound:googletts-95b3bbda-45fdc2c4-438fd99c-e715b348-0facc16b.mp3]	B1_goethe_other
B10040	other		nicht	not	nicht	Du kommst immer zu spät! - Das stimmt nicht.	You're always late! - That's not true.		 [sound:googletts-af022c13-448f640a-c18cfe7f-79417b0c-4da1c7cf.mp3]	 [sound:googletts-055d8bd9-20e68189-24122289-2e7acad1-39c1ae91.mp3]	B1_goethe_other
B10041	other		es	it	es	Mein Auto muss in die Werkstatt. Es ist kaputt.	My car has to go to the garage. It&#x27;s broken.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-34b4b9c6-130a39a0-cf689909-4d6cd6cb-b24a0326.mp3]	B1_goethe_other
B10042	other		es	it	es	Wissen Sie nicht, wo Herr Müller ist? - Nein, ich weiß es nicht.	Don&#x27;t you know where Mr. Müller is? - No, I don&#x27;t know.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-f1a510c4-5fe24494-11b4337e-1123a3e7-73adb186.mp3]	B1_goethe_other
B10043	other		es	it	es	Es wurden bei der Diskussion viele Fragen gestellt.	Many questions were asked during the discussion.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-3453a8ef-d0c30263-2bbd088f-9f8b35d1-13ca020e.mp3]	B1_goethe_other
B10044	other		es	it	es	Wer ist da? – Ich bin’s.	Who is it? - It&#x27;s me.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-6ac452ef-7f1a1e96-e0da7f3e-cacced8e-5c07d7a7.mp3]	B1_goethe_other
B10045	other		es	it	es	Mir geht es gut.	I&#x27;m fine.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-8619d867-ac12a3fa-443fd0b7-edc2688a-8dc68168.mp3]	B1_goethe_other
B10046	other		es	it	es	Ich finde es sehr nett von Ihnen, dass Sie mich abholen.	I think it&#x27;s very nice of you to pick me up.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-e634fb4d-34851d72-e30061f1-99ab9e4b-e8088235.mp3]	B1_goethe_other
B10047	other		es	it	es	Es macht Spaß, zusammen ein Picknick zu machen.	It's fun to have a picnic together.		 [sound:googletts-f5f6c385-de29c105-812fed37-a29f2f46-0f5961e7.mp3]	 [sound:googletts-88736f3a-83de99f4-7ee52b4e-aee25324-07ce47d4.mp3]	B1_goethe_other
B10048	other		mit	with	mit + Dativ	Ich gehe heute Abend mit Maria aus.	I&#x27;m going out with Maria tonight.		 [sound:googletts-a2240875-4c7958b3-5183335c-22252906-4d16f2be.mp3]	 [sound:googletts-f43bd4bc-1855c892-1c5e8fbc-23928284-429b6f77.mp3]	B1_goethe_other
B10049	other		mit	with	mit + Dativ	Wir suchen eine Dreizimmerwohnung mit Küche und Bad.	We are looking for a three-room apartment with kitchen and bathroom.		 [sound:googletts-a2240875-4c7958b3-5183335c-22252906-4d16f2be.mp3]	 [sound:googletts-c9426727-3054996e-12272899-b54fd891-ffc2d5b0.mp3]	B1_goethe_other
B10050	other		mit	with	mit + Dativ	Ich hätte gern einen Tee mit Zitrone.	I would like a tea with lemon.		 [sound:googletts-a2240875-4c7958b3-5183335c-22252906-4d16f2be.mp3]	 [sound:googletts-27a5d506-6c75a452-1445a3f2-67c4251f-48da3086.mp3]	B1_goethe_other
B10051	other		mit	with	mit + Dativ	Mit meiner Mutter sind wir acht Personen.	With my mother, there are eight of us.		 [sound:googletts-a2240875-4c7958b3-5183335c-22252906-4d16f2be.mp3]	 [sound:googletts-da5f6f5d-c65ee750-f3731e37-6af223af-e360f39a.mp3]	B1_goethe_other
B10052	other		mit	with	mit + Dativ	Ich bin mit dem Fahrrad gekommen.	I came by bike.		 [sound:googletts-a2240875-4c7958b3-5183335c-22252906-4d16f2be.mp3]	 [sound:googletts-961ad6b4-41b097c2-4a9b7099-1107fc40-bb92b30a.mp3]	B1_goethe_other
B10053	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Deine Brille liegt auf dem Schreibtisch.	Your glasses are on the desk.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-cbbc567f-4656ee09-55576d23-7e42b4a0-79d12095.mp3]	B1_goethe_other
B10054	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Die Kinder spielen unten auf der Straße.	The children are playing in the street below.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-0b900854-af421b5d-a95f7d1c-914fd2e0-f9c20f6b.mp3]	B1_goethe_other
B10055	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Meine Eltern leben auf dem Land.	My parents live in the country.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-8495059c-bef00798-92bc462d-07602d35-3b92f444.mp3]	B1_goethe_other
B10056	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Gestern waren wir auf einer Party.	Yesterday we went to a party.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-7ef57465-7083ac97-929f2585-5857fd2d-133d3d0f.mp3]	B1_goethe_other
B10057	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Auf unsere Anzeige in der Abendzeitung hat sich noch niemand gemeldet.	Nobody has yet responded to our ad in the evening newspaper.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-6ca53e9f-982d5a70-38b614a6-c6ae9d0a-aebb556f.mp3]	B1_goethe_other
B10058	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Wie heißt das auf Deutsch?	What is it called in German?		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-c6e1a431-d28e11ce-f293e43f-3164566d-88c6ffd2.mp3]	B1_goethe_other
B10059	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Meine Tochter kommt nächstes Jahr aufs Gymnasium.&nbsp;(D) (A, CH: ins)	My daughter is going to grammar school next year.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-fb879885-e9d91726-eff1ecdd-cd3bea4b-ce2ca252.mp3]	B1_goethe_other
B10060	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Im Mai war ich auf Urlaub.&nbsp;(A) (D: in)	I was on vacation in May.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-5306b10c-8356ac56-fdd6b5fd-7d938af5-27e4b9a3.mp3]	B1_goethe_other
B10061	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	Ich bin schon seit zwei Stunden auf.	I&#x27;ve been up for two hours.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-885fa019-93f76888-811e952e-30a1283c-143bb544.mp3]	B1_goethe_other
B10062	other		auf	on, at, in, awake, open	auf + Akkusativ/Dativ	 Komm herein, die Tür ist auf.&nbsp;(D) (A, CH: offen)	 Come in, the door is open.		 [sound:googletts-89005c29-57715fde-0b626bf8-e43185a1-5bccfd0c.mp3]	 [sound:googletts-0122223f-7882635b-94dfac19-5d03bf1e-1fb7d10f.mp3]	B1_goethe_other
B10063	other		für	for	für + Akkusativ	Ist Post für mich da?	Is there mail for me?		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-9435f118-7e24fa75-f7b9a0a6-caebd809-9ffd8821.mp3]	B1_goethe_other
B10064	other		für	for	für + Akkusativ	Ich habe die Schlüssel für meine Wohnung verloren.	I have lost the keys to my apartment.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-567f0ec0-1631889b-88cc2813-c3905f0d-96b4d0cb.mp3]	B1_goethe_other
B10065	other		für	for	für + Akkusativ	Gibt es hier einen Sportverein für Jugendliche?	Is there a sports club for young people here?		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-ada956ef-28278f99-48b46324-a7f692dc-6685f9a5.mp3]	B1_goethe_other
B10066	other		für	for	für + Akkusativ	Diese alten Möbel haben wir für 100 Euro bekommen.	We got this old furniture for 100 euros.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-0f100965-aab6c843-b02f8792-bb3e482a-bf4e6df9.mp3]	B1_goethe_other
B10067	other		für	for	für + Akkusativ	Für einen Anfänger spielt er schon sehr gut Klavier.	He already plays the piano very well for a beginner.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-4c6e8f9e-075e020d-bf65857e-163ae579-9733af56.mp3]	B1_goethe_other
B10068	other		für	for	für + Akkusativ	Du kannst nicht einkaufen gehen? Ich kann es für dich machen.	You can&#x27;t go shopping? I can do it for you.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-ac6e1670-9cfb1c3c-b31d7d52-29a938b7-d0113f34.mp3]	B1_goethe_other
B10069	other		für	for	für + Akkusativ	Für mich ist das ein schwerer Fehler.	For me, that is a serious mistake.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-af01612a-ff330cf0-8294365b-f13099ae-e663eb79.mp3]	B1_goethe_other
B10070	other		für	for	für + Akkusativ	Wir haben die Wohnung für ein Jahr gemietet.	We rented the apartment for a year.		 [sound:googletts-e087629f-ef7de4fe-da3dfc0d-1ae682ee-044088f5.mp3]	 [sound:googletts-bb171bac-558804f4-e00fb9cd-2ea3b244-d69f98ce.mp3]	B1_goethe_other
B10071	other		auch	also	auch	Ich muss leider gehen. – Ich auch.	Unfortunately, I have to go. - Me too.		 [sound:googletts-fa6a0ef5-3125b80b-ca7c33e9-cd15204d-62c32c97.mp3]	 [sound:googletts-ad152fb9-3a2b8b50-2cb6e19f-8e680e58-1e0c9dd1.mp3]	B1_goethe_other
B10072	other		auch	also	auch	Ich arbeite die ganze Woche und muss auch am Wochenende arbeiten.	I work all week and also have to work at the weekend.		 [sound:googletts-fa6a0ef5-3125b80b-ca7c33e9-cd15204d-62c32c97.mp3]	 [sound:googletts-399006a5-55be55f5-80ecdf7e-2bfd07ab-0454d072.mp3]	B1_goethe_other
B10073	other		auch	also	auch	Wir fahren auf jeden Fall, auch wenn es regnet.	We&#x27;re definitely going, even if it rains.		 [sound:googletts-fa6a0ef5-3125b80b-ca7c33e9-cd15204d-62c32c97.mp3]	 [sound:googletts-853f2d4e-0de5a7a1-07839033-8b14b9ba-45866d47.mp3]	B1_goethe_other
B10074	other		auch	also	auch	Der Zug ist gerade eben abgefahren. Warum kommst du auch so spät!	The train has just left. Why are you so late!		 [sound:googletts-fa6a0ef5-3125b80b-ca7c33e9-cd15204d-62c32c97.mp3]	 [sound:googletts-8f1206d0-9e90d577-8df6e93c-bf2adccf-f05f710b.mp3]	B1_goethe_other
B10075	other		an	on, at	an + Akkusativ/Dativ	Am Anfang war alles sehr schwierig.	Everything was very difficult at the beginning.	used when forming the superlative form of adjectives (s4)	 [sound:googletts-0770513a-158c299a-47bfbeab-2680cc2e-aecfd653.mp3]	 [sound:googletts-5cbad8be-405ec9bb-e197e9b2-3e75f5ca-80e1e3ec.mp3]	B1_goethe_other
B10076	other		an	on, at	an + Akkusativ/Dativ	Dann sehen wir uns also am Dienstag.	So I&#x27;ll see you on Tuesday.	used when forming the superlative form of adjectives (s4)	 [sound:googletts-0770513a-158c299a-47bfbeab-2680cc2e-aecfd653.mp3]	 [sound:googletts-04eddb59-7fc117d4-60f3979b-2b129f1e-0eea13dc.mp3]	B1_goethe_other
B10077	other		an	on, at	an + Akkusativ/Dativ	Ich warte am Bahnhof auf dich.	I&#x27;ll wait for you at the station.	used when forming the superlative form of adjectives (s4)	 [sound:googletts-0770513a-158c299a-47bfbeab-2680cc2e-aecfd653.mp3]	 [sound:googletts-79bbe93e-70d75d46-17617393-91ddffdf-a7fde5ad.mp3]	B1_goethe_other
B10078	other		an	on, at	an + Akkusativ/Dativ	Am besten, du gehst zur Information und fragst da.	The best thing to do is to go to the information desk and ask there.	used when forming the superlative form of adjectives (s4)	 [sound:googletts-0770513a-158c299a-47bfbeab-2680cc2e-aecfd653.mp3]	 [sound:googletts-f81d60e3-ea34f185-4a67e9c9-6256a514-1ba76af4.mp3]	B1_goethe_other
B10079	other		an	on, at	an + Akkusativ/Dativ	Das Licht war die ganze Nacht an.	The light was on all night.	used when forming the superlative form of adjectives (s4)	 [sound:googletts-0770513a-158c299a-47bfbeab-2680cc2e-aecfd653.mp3]	 [sound:googletts-33abd522-801d8fb2-48946311-fa6dfba1-a4696478.mp3]	B1_goethe_other
B10080	other		dass	that	dass	Rico hat mir gesagt, dass er auch zur Party kommt.	Rico told me that he&#x27;s also coming to the party.		 [sound:googletts-e096a885-d77c1d39-85f25f7f-52cb8597-ae61c23c.mp3]	 [sound:googletts-325df7f1-b3e5c01d-7a8fd14f-9869f375-784a05ee.mp3]	B1_goethe_other
B10081	other		zu	to, at, too	zu + Dativ	Ich bringe Sie zum Bahnhof.	I&#x27;ll take you to the station.		 [sound:googletts-ab34d57c-90b69c2e-0f11923a-8cb13ccb-c9a3841d.mp3]	 [sound:googletts-c8282f3a-720cb846-81aebe64-34a2f450-a1ca60b8.mp3]	B1_goethe_other
B10082	other		zu	to, at, too	zu + Dativ	Wann sind Sie zu Hause?	When are you at home?		 [sound:googletts-ab34d57c-90b69c2e-0f11923a-8cb13ccb-c9a3841d.mp3]	 [sound:googletts-011c4204-3a0c341b-65b0ada7-889f62d1-92455eb4.mp3]	B1_goethe_other
B10083	other		zu	to, at, too	zu + Dativ	Am besten gehen Sie zu Fuß.	The best way to get there is on foot.		 [sound:googletts-ab34d57c-90b69c2e-0f11923a-8cb13ccb-c9a3841d.mp3]	 [sound:googletts-023bad14-faf03bb5-18f5b064-3c5ec48c-fd1d2422.mp3]	B1_goethe_other
B10084	other		zu	to, at, too	zu + Dativ	Gehen Ihre Kinder schon/noch zur Schule?	Do your children already/still go to school?		 [sound:googletts-ab34d57c-90b69c2e-0f11923a-8cb13ccb-c9a3841d.mp3]	 [sound:googletts-c0bb718c-f5972326-268965c9-5f6ccf52-50fd9ff4.mp3]	B1_goethe_other
